Parameter,Type,Min,Max,Default,Example,Description
Distribution_Coverages,array of floats,0,1,0,[example](../json/campaign-calendareventcoordinator-distribution-coverages.json),A vector of floats for the fraction of individuals that will receive this intervention in a **CalendarEventCoordinator**.
Distribution_Times,array of integers,1,2.14748E+09,0,[example](../json/campaign-calendareventcoordinator-distribution-times.json),A vector of integers for simulation times at which distribution of events occurs in a **CalendarEventCoordinator**. These times must be in ascending order.
Intervention_Config,json object,NA,NA,NA,[example](../json/campaign-calendareventcoordinator-intervention-config.json),The nested JSON of the actual intervention to be distributed by this event coordinator.
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-calendareventcoordinator-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter."
Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-calendareventcoordinator-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,[example](../json/campaign-calendareventcoordinator-property-restrictions-within-node.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. "
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,[example](../json/campaign-calendareventcoordinator-target-age-max.json),"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Age_Min,float,0,9.3228e+35,0,[example](../json/campaign-calendareventcoordinator-target-age-min.json),"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Demographic,enum,NA,NA,Everyone,[example](../json/campaign-calendareventcoordinator-target-demographic.json),The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,[example](../json/campaign-calendareventcoordinator-target-gender.json),Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All
Target_Residents_Only,boolean,0,1,0,[example](../json/campaign-calendareventcoordinator-target-residents-only.json),"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,[example](../json/campaign-calendareventcoordinator-targeting-config.json),Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).
